"primary_id","review_date","category","rating","label","text"
"A_00056","2026-04-18","Home_and_Kitchen_5",5,"OR","These are just perfect, exactly what I was looking for."
"A_00057","2026-02-28","Home_and_Kitchen_5",5,"OR","Such a great purchase can't beat it for the price"
"A_00058","2026-01-18","Home_and_Kitchen_5",5,"OR","What can you say--- cheap and it works as intended."
"A_00059","2026-03-09","Home_and_Kitchen_5",5,"OR","These are so nice, sturdy, like the color choices too."
"A_00060","2026-04-09","Home_and_Kitchen_5",5,"OR","It is nice bowl and have had a fast shipping!"
"A_00061","2026-02-27","Home_and_Kitchen_5",5,"OR","Great cup. Will last forever. Keeps things cool / warm."
"A_00062","2026-03-11","Home_and_Kitchen_5",5,"OR","Love them, just thought they would be a bit bigger!"
"A_00063","2026-01-01","Home_and_Kitchen_5",5,"OR","Excellent quality product. Perfect for my ccozinha."
"A_00064","2026-03-05","Home_and_Kitchen_5",5,"OR","This fan is really pretty and I actually use it."
"A_00065","2026-02-14","Home_and_Kitchen_5",1,"OR","Super rough, not soft wash cloths, more like bar towels"
"A_00066","2026-03-07","Home_and_Kitchen_5",5,"OR","Like this little guy. Use it often. He is small."
"A_00067","2026-04-04","Home_and_Kitchen_5",5,"OR","Perfect size .easy to unfold. Topremoves for storage. Love this."
"A_00068","2026-04-18","Home_and_Kitchen_5",1,"OR","Does not do a very good job; difficult to use."
"A_00069","2026-04-11","Home_and_Kitchen_5",5,"OR","frame was beautifully crafted and looks great with my picture."
"A_00070","2026-03-05","Home_and_Kitchen_5",5,"OR","My hot cocoa is finally perfect! This product is fabulous"
"A_00071","2026-04-27","Home_and_Kitchen_5",5,"OR","i bought this for a friend and he loves it."
"A_00072","2026-03-09","Home_and_Kitchen_5",5,"OR","Very soft and great quality for such a low price!"
"A_00073","2026-01-13","Home_and_Kitchen_5",5,"OR","Purchased as a Christmas gift.  She will love it."
"A_00074","2026-04-22","Home_and_Kitchen_5",5,"OR","accurate description, works great, came on time, i'm very happy!"
"A_00075","2026-03-28","Home_and_Kitchen_5",5,"OR","Use it in my Duvet cover. Fluffy and perfect fit!"
"A_00076","2026-05-09","Home_and_Kitchen_5",5,"OR","One of the softest blankets ever. So nice and cozy."
"A_00077","2026-02-20","Home_and_Kitchen_5",5,"OR","Smells great, and the fine mist dries quickly. My favorite."
"A_00078","2026-04-15","Home_and_Kitchen_5",5,"OR","Exactly what I was expecting. perfect curtains for my bedroom."
"A_00079","2026-04-13","Home_and_Kitchen_5",4,"OR","Just what I wanted to hang my pants and skirts."
"A_00080","2026-01-07","Home_and_Kitchen_5",3,"OR","It's kind of small, we were looking for something larger."
"A_00081","2026-01-11","Home_and_Kitchen_5",4,"OR","A little pricey for what it is."
"A_00082","2026-02-14","Home_and_Kitchen_5",5,"OR","works great & the charge kept up all day long"
"A_00083","2026-01-13","Home_and_Kitchen_5",5,"OR","This is a nice quality frame at a good price"
"A_00084","2026-03-14","Home_and_Kitchen_5",3,"OR","Does the job, but nothing special. Not hard to install."
"A_00085","2026-01-12","Home_and_Kitchen_5",5,"OR","Item as described and arrived in a timely manner."
"A_00086","2026-02-15","Home_and_Kitchen_5",3,"OR","Bought 2 and sent one back because it didn't work"
"A_00087","2026-03-07","Home_and_Kitchen_5",5,"OR","Made well holds all my make brushes, pencils, mascara etc."
"A_00088","2026-03-16","Home_and_Kitchen_5",1,"OR","sheds all over, would not buy it ever again. blanket."
"A_00089","2026-01-31","Home_and_Kitchen_5",5,"OR","Works great, it's Pyrex, I'd expect nothing less from them."
"A_00090","2026-04-03","Home_and_Kitchen_5",5,"OR","we like this little opener, real easy on my hands."
"A_00091","2026-03-13","Home_and_Kitchen_5",5,"OR","Perfect. Love everything about them. Look great in my kitchen."
"A_00092","2026-04-16","Home_and_Kitchen_5",5,"OR","air tight and it works great glad i got it"
"A_00093","2026-03-06","Home_and_Kitchen_5",5,"OR","Very cute and good quality fabric. Zippers worked well too."
"A_00094","2026-04-28","Home_and_Kitchen_5",5,"OR","These were great to send my grandkids their Halloween treats"
"A_00095","2026-03-07","Home_and_Kitchen_5",5,"OR","Save a ton by using these instead of paper towels!"
"A_00096","2026-01-20","Home_and_Kitchen_5",2,"OR","These are so weak. They barely bring in any air."
"A_00097","2026-03-24","Home_and_Kitchen_5",5,"OR","Great set of glasses!  Good quality, comfortable to handle."
"A_00098","2026-01-18","Home_and_Kitchen_5",4,"OR","It feels cool to the touch but is super hard."
"A_00099","2026-02-08","Home_and_Kitchen_5",5,"OR","So cute, made well my grand daughter will love this."
"A_00100","2026-04-25","Home_and_Kitchen_5",5,"OR","Works as expected for connecting CCTV power supply to cameras."
"A_00101","2026-02-25","Home_and_Kitchen_5",5,"OR","Very Soft ! Definitely better quality than I was expecting."
"A_00102","2026-02-14","Home_and_Kitchen_5",5,"OR","Nice and contemporary. Great for the price. Easy to assemble."
"A_00103","2026-04-02","Home_and_Kitchen_5",5,"OR","Super cute and appears to be great quality! Highly recommend!"
"A_00104","2026-04-04","Home_and_Kitchen_5",5,"OR","These are really cool actually.  My boyfriend loved them."
"A_00105","2026-05-01","Home_and_Kitchen_5",5,"OR","Bought as a gift for a cousin.  Very nice."
"A_00106","2026-03-28","Home_and_Kitchen_5",1,"OR","Stopped working after one use still waiting on my refund"
"A_00107","2026-03-15","Home_and_Kitchen_5",4,"OR","cute and reasonably price. I am happy with my purchase."
"A_00108","2026-04-28","Home_and_Kitchen_5",5,"OR","Well received and comfortable. Gave as gift to dialysis patient."
"A_00109","2026-04-13","Home_and_Kitchen_5",2,"OR","do not expected to be so poor on quality ,"
"A_00110","2026-01-14","Home_and_Kitchen_5",5,"OR","Easy to review. The kid DDS love them!  Thanks"
"A_00161","2026-02-19","Home_and_Kitchen_5",1,"OR","My car smells no different after 3 weeks.  Snake oil."
"A_00162","2026-04-18","Home_and_Kitchen_5",5,"OR","This pillow cushion is well constructed and easily washed. Very comfortable."
"A_00163","2026-03-07","Home_and_Kitchen_5",5,"OR","Haven't used the big ones but the small ones work great!"
"A_00164","2026-02-26","Home_and_Kitchen_5",5,"OR","Takes out the mystery of when my meat is finished cooking"
"A_00165","2026-01-01","Home_and_Kitchen_5",3,"OR","Its nice to have an organizer large enough for the utensils."
"A_00166","2026-03-09","Home_and_Kitchen_5",5,"OR","Works perfectly.  Easy to put in your art and hang."
"A_00167","2026-04-06","Home_and_Kitchen_5",5,"OR","Great little rug!  I'd buy it again in different colors."
"A_00168","2026-01-08","Home_and_Kitchen_5",4,"OR","Holds some gift wrap but not longer tubes which is disappointing."
"A_00169","2026-01-13","Home_and_Kitchen_5",4,"OR","Belts never last long enough but this seems to work okay."
"A_00170","2026-01-06","Home_and_Kitchen_5",5,"OR","Such a great price, less expensive than renting & great quality"
"A_00171","2026-01-24","Home_and_Kitchen_5",4,"OR","Good for the price but doesn't soften up much after washing"
"A_00172","2026-04-16","Home_and_Kitchen_5",5,"OR","I love these sheets!!!!  Goes great with my star quilts"
"A_00173","2026-03-05","Home_and_Kitchen_5",5,"OR","Great mug - bigger than I thought it would be too!"
"A_00174","2026-05-03","Home_and_Kitchen_5",5,"OR","I gave this as a gift and my daughter loves hers."
"A_00175","2026-01-25","Home_and_Kitchen_5",5,"OR","These are great!  Great space saver in our laundry room!"
"A_00176","2026-03-16","Home_and_Kitchen_5",5,"OR","Very flexible leading edge not quite as helpful under all conditions."
"A_00177","2026-03-15","Home_and_Kitchen_5",1,"OR","bottom will not stay on.....zero customer service  do not buy"
"A_00178","2026-02-09","Home_and_Kitchen_5",4,"OR","Very nice, elegant glass and does improve the taste of wine."
"A_00179","2026-02-28","Home_and_Kitchen_5",5,"OR","excellent product if you are a side sleeper this is perfect"
"A_00180","2026-03-01","Home_and_Kitchen_5",5,"OR","When there not in the oven they make great place mats"
"A_00181","2026-05-02","Home_and_Kitchen_5",5,"OR","love it  it is so cute in my new bathroom"
"A_00182","2026-02-19","Home_and_Kitchen_5",5,"OR","Exactly as pictured! Sturdy and perfect for baking and cooking needs!"
"A_00183","2026-03-06","Home_and_Kitchen_5",5,"OR","Top notch artistry done on this bust from grand jesters studios."
"A_00184","2026-03-15","Home_and_Kitchen_5",5,"OR","Love these and I get many comments on this spoon :-)"
"A_00185","2026-03-30","Home_and_Kitchen_5",5,"OR","Did not expect this table to  be this nice, Thanks"
"A_00186","2026-03-07","Home_and_Kitchen_5",5,"OR","Great product. Arrived on time and matched my shower curtain perfectly."
"A_00187","2026-04-29","Home_and_Kitchen_5",5,"OR","a nice secondary vacuum for small apartments and reaching tight areas"
"A_00188","2026-04-20","Home_and_Kitchen_5",5,"OR","Good size, good value for money. Looks great in my bar."
"A_00189","2026-01-20","Home_and_Kitchen_5",3,"OR","Somewhat hard to clean, not as convenient as I had hoped."
"A_00190","2026-02-28","Home_and_Kitchen_5",5,"OR","Works Great with all my battery candles of the same brand."
"A_00191","2026-04-04","Home_and_Kitchen_5",3,"OR","Ok pillow kind of too hard and firm not very soft"
"A_00192","2026-04-15","Home_and_Kitchen_5",5,"OR","Perfection. Beyond easy to use, minimal effort, fast and perfect froth."
"A_00193","2026-04-24","Home_and_Kitchen_5",5,"OR","Love this item. I smile every time I I use it"
"A_00194","2026-02-11","Home_and_Kitchen_5",5,"OR","Fleece blanket is cozy warm. It was exactly what I wanted."
"A_00195","2026-02-26","Home_and_Kitchen_5",3,"OR","Noticed today top I'd bubbling up where a glass was set"
"A_00196","2026-03-08","Home_and_Kitchen_5",3,"OR","Great for weighing in lbs and oz not grams. Fast shipping."
"A_00197","2026-02-17","Home_and_Kitchen_5",5,"OR","These were great. I just had to order a longer size."
"A_00198","2026-04-02","Home_and_Kitchen_5",5,"OR","Nice sticks; used these for almost every meal; good for PHO."
"A_00199","2026-04-04","Home_and_Kitchen_5",5,"OR","This is one of the best things I have ever bought"
"A_00200","2026-03-15","Home_and_Kitchen_5",4,"OR","Love it but too small.  Would love in larger size"
"A_00201","2026-03-24","Home_and_Kitchen_5",5,"OR","Perfect for my candy buffet, and it will certainly be multipurpose."
"A_00202","2026-04-01","Home_and_Kitchen_5",5,"OR","Works perfect. Use this for my EV cord in the garage"
"A_00203","2026-02-27","Home_and_Kitchen_5",1,"OR","Do not waste your money.  It broke after one month."
"A_00204","2026-01-07","Home_and_Kitchen_5",4,"OR","A little tacky, but on the shelf in the spare bathroom."
"A_00205","2026-01-19","Home_and_Kitchen_5",3,"OR","Helps cool my memory mattress a little but not a lot."
"A_00206","2026-04-08","Home_and_Kitchen_5",5,"OR","This is perfect. I wish I would have ordered it earlier."
"A_00207","2026-02-26","Home_and_Kitchen_5",5,"OR","Excellent packaging, Fast shipping , super quality for the right price."
"A_00208","2026-04-14","Home_and_Kitchen_5",4,"OR","Good mix - my favorite is still the Goloka Nag Champa"
"A_00209","2026-03-10","Home_and_Kitchen_5",5,"OR","Just what the bride wanted came out nice with the engraving."
"A_00210","2026-02-11","Home_and_Kitchen_5",4,"OR","The color slightly different than I got,the website pictures looks better."
"A_00259","2026-02-11","Home_and_Kitchen_5",5,"OR","Great color and feel, very soft and great price.
I would recommend it."
"A_00260","2026-02-19","Home_and_Kitchen_5",4,"OR","Very small but works if you don't have a lot of space."
"A_00261","2026-02-27","Home_and_Kitchen_5",1,"OR","Burns the hell out of my hands. Doesn't work at high temps"
"A_00262","2026-03-01","Home_and_Kitchen_5",5,"OR","Works so fast. replaced the one I broke."
"A_00263","2026-05-03","Home_and_Kitchen_5",5,"OR","This shower curtain is beautiful. Nice fabric. Looks great in my bathroom."
